id,vote_type_id,creation_timestrmpz
18183412,11,2011-08-15 00:00:00+00:00
24104211,15,2012-02-08 00:00:00+00:00
214589586,11,2020-08-02 00:00:00+00:00
154736549,11,2018-01-09 00:00:00+00:00
22636216,15,2011-12-31 00:00:00+00:00
30388236,15,2012-07-11 00:00:00+00:00
233008378,11,2021-06-04 00:00:00+00:00
79446343,15,2014-12-03 00:00:00+00:00
24139263,15,2012-02-09 00:00:00+00:00
51873128,9,2013-08-08 00:00:00+00:00
73844698,8,2014-08-23 00:00:00+00:00
150503394,11,2017-11-03 00:00:00+00:00
202918302,11,2020-02-08 00:00:00+00:00
174032647,11,2018-10-26 00:00:00+00:00
149286448,15,2017-10-16 00:00:00+00:00
83648368,11,2015-02-16 00:00:00+00:00
23119672,15,2012-01-13 00:00:00+00:00
12055737,8,2011-01-18 00:00:00+00:00
66131871,8,2014-04-09 00:00:00+00:00
119003424,11,2016-07-29 00:00:00+00:00
200459291,15,2019-12-28 00:00:00+00:00
124357528,15,2016-10-17 00:00:00+00:00
101520749,8,2015-11-17 00:00:00+00:00
206787248,15,2020-04-11 00:00:00+00:00
53601501,15,2013-09-09 00:00:00+00:00
168741444,11,2018-08-06 00:00:00+00:00
77961701,15,2014-11-06 00:00:00+00:00
149076112,11,2017-10-13 00:00:00+00:00
168650590,15,2018-08-03 00:00:00+00:00
126099309,15,2016-11-11 00:00:00+00:00
200225152,15,2019-12-23 00:00:00+00:00
78669737,11,2014-11-19 00:00:00+00:00
23405755,15,2012-01-21 00:00:00+00:00
168024562,15,2018-07-25 00:00:00+00:00
239618620,8,2021-10-03 00:00:00+00:00
149621422,11,2017-10-21 00:00:00+00:00
200904454,11,2020-01-07 00:00:00+00:00
206217650,12,2020-04-02 00:00:00+00:00
130527518,11,2017-01-18 00:00:00+00:00
169069197,11,2018-08-10 00:00:00+00:00
150146448,9,2017-10-29 00:00:00+00:00
136468780,15,2017-04-11 00:00:00+00:00
240289055,11,2021-10-15 00:00:00+00:00
17494916,15,2011-07-24 00:00:00+00:00
84120834,15,2015-02-24 00:00:00+00:00
194252904,15,2019-09-16 00:00:00+00:00
169164533,9,2018-08-12 00:00:00+00:00
14875862,11,2011-05-09 00:00:00+00:00
212996534,15,2020-07-08 00:00:00+00:00
208536378,15,2020-05-06 00:00:00+00:00
118083338,11,2016-07-15 00:00:00+00:00
188607167,15,2019-06-13 00:00:00+00:00
77314872,11,2014-10-25 00:00:00+00:00
163818624,15,2018-05-21 00:00:00+00:00
239586902,9,2021-10-03 00:00:00+00:00
119870819,11,2016-08-11 00:00:00+00:00
176209035,15,2018-11-30 00:00:00+00:00
31327801,15,2012-08-01 00:00:00+00:00
131498359,9,2017-02-01 00:00:00+00:00
78077056,15,2014-11-08 00:00:00+00:00
199762879,15,2019-12-15 00:00:00+00:00
130847274,8,2017-01-23 00:00:00+00:00
24199596,11,2012-02-10 00:00:00+00:00
15494386,15,2011-05-30 00:00:00+00:00
201971464,11,2020-01-23 00:00:00+00:00
124032685,15,2016-10-12 00:00:00+00:00
202246533,11,2020-01-28 00:00:00+00:00
150936665,15,2017-11-09 00:00:00+00:00
183069587,15,2019-03-17 00:00:00+00:00
214284299,15,2020-07-28 00:00:00+00:00
59155563,15,2013-12-16 00:00:00+00:00
181118081,15,2019-02-17 00:00:00+00:00
70926919,15,2014-07-02 00:00:00+00:00
73816926,8,2014-08-22 00:00:00+00:00
106500788,15,2016-01-31 00:00:00+00:00
182346722,8,2019-03-06 00:00:00+00:00
50334736,9,2013-07-12 00:00:00+00:00
22475692,15,2011-12-25 00:00:00+00:00
45942414,11,2013-04-27 00:00:00+00:00
175738756,9,2018-11-23 00:00:00+00:00
51144777,15,2013-07-26 00:00:00+00:00
58890869,9,2013-12-12 00:00:00+00:00
129642762,8,2017-01-05 00:00:00+00:00
207292789,11,2020-04-18 00:00:00+00:00
29805263,9,2012-06-27 00:00:00+00:00
31823630,9,2012-08-12 00:00:00+00:00
182272465,12,2019-03-06 00:00:00+00:00
29617536,15,2012-06-22 00:00:00+00:00
23380471,15,2012-01-20 00:00:00+00:00
158347601,15,2018-03-03 00:00:00+00:00
72494945,12,2014-07-30 00:00:00+00:00
72134545,15,2014-07-23 00:00:00+00:00
63778997,11,2014-03-04 00:00:00+00:00
130718946,4,2017-01-21 00:00:00+00:00
32213538,15,2012-08-21 00:00:00+00:00
181789581,11,2019-02-27 00:00:00+00:00
234794650,11,2021-07-06 00:00:00+00:00
242107687,15,2021-11-17 00:00:00+00:00
150254651,15,2017-10-31 00:00:00+00:00
46019296,11,2013-04-29 00:00:00+00:00
246680846,8,2022-02-12 00:00:00+00:00
70506102,15,2014-06-25 00:00:00+00:00
12031250,15,2011-01-17 00:00:00+00:00
32065764,15,2012-08-17 00:00:00+00:00
200290942,8,2019-12-24 00:00:00+00:00
149889958,15,2017-10-25 00:00:00+00:00
38449259,11,2012-12-20 00:00:00+00:00
30366194,15,2012-07-10 00:00:00+00:00
23178394,15,2012-01-16 00:00:00+00:00
29888274,9,2012-06-29 00:00:00+00:00
228470713,15,2021-03-19 00:00:00+00:00
71887167,15,2014-07-19 00:00:00+00:00
129987232,15,2017-01-11 00:00:00+00:00
157865696,15,2018-02-24 00:00:00+00:00
91652257,15,2015-06-19 00:00:00+00:00
43389790,15,2013-03-18 00:00:00+00:00
119283461,9,2016-08-02 00:00:00+00:00
155874390,4,2018-01-26 00:00:00+00:00
207896807,15,2020-04-27 00:00:00+00:00
235371323,11,2021-07-16 00:00:00+00:00
156464970,15,2018-02-04 00:00:00+00:00
233393212,15,2021-06-11 00:00:00+00:00
125103405,9,2016-10-27 00:00:00+00:00
